@relation 'DatasetName: -C -15'
@attribute docs string
@attribute l_appointment {0,1}
@attribute l_chore {0,1}
@attribute l_family {0,1}
@attribute l_finance {0,1}
@attribute l_friends {0,1}
@attribute l_home {0,1}
@attribute l_leisure {0,1}
@attribute l_mlcourse {0,1}
@attribute l_reading {0,1}
@attribute l_school {0,1}
@attribute l_shop {0,1}
@attribute l_sport {0,1}
@attribute l_travel {0,1}
@attribute l_urgent {0,1}
@attribute l_work {0,1}

@data
'Check e-bay for bargains on comics',0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
'Fill out ISP and examination dates by the end of this week',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Read articles about text classi?ers',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'Fix bug in to-do application',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Buy new running shoes',0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
'Write requirement specification for new project',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Buy Christmas presents for the kids',0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
'Pay tuition fee',0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
'Buy christmas gifts for family reunion',0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
'Repair brother s bike',0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
'Buy cinema tickets for next week',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Study chapter 7 of the Machine Learning course text',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'Get birthday present for girlfriend s sister',0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
'Give food to pet dinosaur',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Collect airplane tickets at travel agent',0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
'Look for a summer job',0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
'Go to bank to open savings account',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Go to the library to get new books',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'Buy new running shoes',0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
'E-mail Bart and Jos about the running race',0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
'Create new appointment with thesis promotor',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Block credit card and request a new one at the bank',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Clean up mother s laptop',0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
'Book a suprise city-trip for valentine',0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
'Take the dog out for a walk',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'Read new book on WordPress blogging',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'Buy new webhosting for personal and school related blogs',0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
'Sell shares of Dexia',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Visit grandma in the hospital',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Take out the garbage',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Invite Berlusconi and Merkel to dinner',1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
'Buy winter tires for the trip to Germany',0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
'Plan biking trip with Gert',0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
'Buy pizza and beer at Delhaize',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
'Send a mail to Stefan and Philippe to organise a meeting',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Send feedback about the report for Machine Learning',0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
'Go running with a friend',0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
'Read the next chapter in the textbook of Machine Learning',0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
'Mow the lawn',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Watch a movie with family',0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
'Do some thesis research',0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Implement an alogrithm for my thesis',0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Clean my room',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Play a board game with friends',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'wash the dishes',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'throw a housewarming party',0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
'send the MLII project planning',0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
'buy vodka',0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
'finish the financial report for this quartal',0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
'visit your family abroad',0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
'finish reading Goethe?s Faust',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'build AI and destroy the world',0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'make a tenth todo for this todo list',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'arrange delivery of the vodka to the Russian mafia',1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
'go hunt some bear with the Russian mafia',0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
'buy sigarettes',0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
'buy a good computer',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
'make a dinner and eat it',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'go to the hairdresser and cut your hair',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'finish this report on time',0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
'jump from the eiffel tower',0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
'finish the website update for the company',0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
'learn more about artificial neural networks',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'pay the rent',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'make an appointment at the dentist',1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'call my dad about this year?s christmas holiday plans',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'read survey on word sense disambiguation for thesis',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'plan meeting for machine learning project',0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
'walk the dog',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'do the ironing',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'make a reservation at the restaurant for next saturday',1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'go jogging on sunday morning',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'clean up my room',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'go to the movies to see the new Tintin movie',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'plan my birthday party',0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
'visit Martine in Gent',0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
'buy a new pair of jogging shoes and trousers in Maastricht',0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
'arrange a meeting with my thesis supervisor',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'check my bank account for the payment from my summer job',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'start planning next year?s holiday',0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
'call the hairdresser for an appointment for cutting and dying my hair',1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'buy the course text on machine learning',0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
'wash and vacuum clean the car',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Read literature for ml-project',0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
'Make appointment with the bank for a loan',1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Book snowboardvacation for after the exams',0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
'Plan a footballnight with Samson and Gert',0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
'Go out for a drink',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Go jogging',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'Buy new pair of shoes for work',0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
'Read the eos',0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'Give invoice of university to mum',0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
'Mow lawn at grandma s',0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
'Work on the project for  Comparative Programming Languages ',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Meet up with the team for the  Comparative Programming Languages -project',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Write to do list',0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
'Make presentation for lecture in Germany',0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
'Buy books for classes',0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
'Pay rent for  kot ',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Go to CW 2012 game night',0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
'Give children their allowance',0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
'Prepare schooltrip to the Netherlands',0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
'Study for my test',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Play tennis',0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
'Go to the lecture',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Apply for a new job',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Buy beer for the party this evening',0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
'Read the new book of Stephen Hawking',0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
'Arrange the ski trip',0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
'Enjoy the weekend',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'Pay my bills',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Discuss my paper at 16h',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Look for Christmas gifts',0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
'Take the train home',0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
'Visit my grandfather',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Watch a movie at the movie theater',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Go to the bakery',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
'Mow the grass',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Go to the bank tomorrow at 10h',1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Wash my clothes',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Read some chapters of my textbook of machine learning',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'Play guitar',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Buy and ship birthday present to Vidath.',0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
'Look up information about connecting sproutcore to different kind of backends.',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'Update centos running on vps to latest version.',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Inform about vps experation date.',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Pay final bill luminus for studio year 2010-2011.',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Cancel telenet subscription studio.',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'inform about which version of aquabeat V2.0 decathlon is actually selling.',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'Check review aquabeat V2.0.',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'Pick up book at vtk.',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'Read up on formal systems.',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'Finish intermediate report for machine learning.',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'Read up on computer graphics.',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'Finish sequence diagrams distributed computing and add to report.',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Send in source code and report JEE2 assignment.',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Make appointment dentist',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Upgrade firmware NAS.',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Inform about repayment rent guarantee.',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Update forum software.',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Post letter from bank.',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Go shopping at Delhaize.',0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
'Upload task Machine Learning to Toledo.',0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
'Draw UML Class Diagram for Distributed Systems.',0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
'Write roadbook for international youth camp.',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Have a drink at the pub Trawantel.',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Prepare inteview for World Diabetes Day with VTM News.',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Reply to the SMS I just received from my girlfriend.',0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
'Draw my idea for a data visualisation for the advanced database systems course.',0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Go cycling twice a week to keep fit.',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'Rake the leaves from the grass.',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Go get my passport at the town hall before traveling to Dubai.',0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
'Inform my teachers that I leave for ten days to Dubai.',0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
'Get in touch with the international young leaders in diabetes.',0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
'Go walking the 14th of November for World Diabetes Day.',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'Read the last chapter of the Machine Learning course.',0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'Give my neighbor tutoring in math this evening at 7 pm.',1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
'Clean up my room at Leuven.',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Pay the doctors cost.',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Read the local newspaper.',0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
'Prepare the old years eve party.',0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
'Do my daily excercises',0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
'Thursday party',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Finish OSS project before deadline',0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
'Read up on ML systems',0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
'Go to barber on wednesday',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Go home at saturday',0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
'Get a present for grandpa',0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
'Sundays family meeting',0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
'Mondays training',0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
'Pay my registration at uni',0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
'Pay my registration for mondays training',0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
'Buy ingredients for tonights meal',0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
'Cook meal',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'Citytrip Amsterdam',0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
'Read city info',0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
'Pay citytryp',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Convert project report to PDF',0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
'Run some miles',0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
'Meet for project OSS',1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
'Dinner at sammy s',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Pay monthly rent',0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
'Have dinner with girlfriend',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Read literature for project',0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
'Have winter tires put on car',1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Buy christmas gifts for family',0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
'Pay friend back for ski trip he booked',0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
'Print directions to location of party on friday',0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
'Work on school task',0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
'Have a drink with friends on monday',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Do some groceries for mom',0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
'Have a look at bank transactions',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Buy present for friend s birthday',0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
'Maintain website',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Buy tickets to concert',0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
'Feedback session of project',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Clean room',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Family weekend in the Ardennes',0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
'Play tennis with girlfriend',0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
'Keep up with courses',0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
'Buy new snowboard',0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
'Study my course of Lineaire Algebra',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'Go home and pack my bags',0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
'Finish PenO',1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Buy new beer',0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
'Get on time in class',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Go work in the alma',1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
'Get dollars from the bank',0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
'Call my friend to ask him about my diving bag',0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
'Start to study the course of Machine Learning',0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
'Go to the tutoring at 21h',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Watch the lecture of Stephen Hawking',0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
'Send this nice girl from class a text message',0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
'Call my mom',0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
'Go to the dentist',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Fix my bike',0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
'Calculate my finances',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Cook my dinner',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Watch the new episode of How I Met Your Mother',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Get some cash on my cellphone',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Buy birthday present for Sarah',0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
'Register for lecture on google',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Write report for machine learning',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Request new student card',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Request new debit card',0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
'Buy new wallet',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
'Schedule movie night',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Plan ski trip',0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
'Pay electric bill',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Visit grandpa to fix his computer problems',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'read articles on tag prediction',0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
'Work on group project',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Yearly dentist',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Buy new laptop',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
'Return DVD-box to Yana',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'Fix brakes on my bike',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'Study for drivers licence',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
'Work on programming assignment with Wouter and Pieter, Monday',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Mow the lawn',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Poker night at old dormitory',1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'Fix ISP courses',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Challenge floors for Viking Kubb',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Discuss algorithms with Naci',0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
'Send account info to everyone that owes me for Chinese',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'Finish up first part of machine learning assignment',0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
'Find transport for Water polo match',1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'Contact Mark about S&S payment',0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
'Send update about thesis',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Help Benjamin with presentation',0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
'Pick up dogs at kennel',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Pick up mother from airport',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Contact Jean-Philippe about Paris trip',0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
'Wash the car',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Fix grandparents  DVD player',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
'Work on CPL assignment',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Read up to chapter 12 English workbook',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'Remind Michael to transfer money he owes me',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'Buy games from wish list',0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
'Buy chicken for dinner',0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
'Visit grandmother at the hospital',0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
'Fix the Internet connection',0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
'Buy a home-warming gift for Willem',0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
'Book a trip to Barcelona at the travel agency',1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Order tickets for Walibi',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'Retrieve new student card',0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
'Mail CV to VTK to include it in CV-book',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Buy a new tennis racket',0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
'Discuss machine learning project with parnter',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Do the dishes',0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
'Write 20 to-do s',0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
'Wash the car',0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
'Get vacinations for trip to Panama',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Talk to bank about investments',1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'Write thesis progress report',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Start literature study for thesis',0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
'Buy a new business suit',0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
'Enroll in tennis tournament',0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
'Plan Christmas dinner',0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
'Get the latest Wheel of Time book',0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
'Pick up my brother at 4pm',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Do laundry',0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Go jogging with Sven',0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
'Buy Eurostar tickets to London today!',0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
